2, 1
5, 3
8, 4
9, 6
9, 7
10, 8
11, 10
12, 10
13, 11
14, 12
14, 13
16, 15
20, 19
23, 22
3, 3
6, 3
8, 4
9, 4
14, 4
17, 5
18, 5
20, 5
21, 8
22, 11
26, 12
33, 13
36, 14
39, 19
5, 2
5, 3
7, 5
8, 7
9, 7
12, 7
14, 11
15, 11
17, 14
20, 14
20, 16
21, 17
21, 19
26, 19
4, 1
7, 2
8, 3
9, 4
10, 5
16, 6
19, 10
24, 12
25, 13
25, 13
28, 18
30, 21
31, 22
33, 22
6, 0
8, 3
12, 5
15, 8
18, 11
20, 13
24, 14
26, 16
29, 16
30, 18
31, 20
34, 21
38, 23
39, 24
4, 1
5, 3
9, 4
12, 5
13, 6
15, 9
17, 9
18, 13
20, 13
23, 14
27, 17
33, 19
37, 20
41, 21
5, 2
7, 2
7, 4
7, 5
9, 8
9, 10
9, 10
9, 11
10, 11
12, 11
13, 12
16, 15
19, 16
20, 18
1, 2
5, 2
6, 4
9, 7
12, 8
17, 9
20, 12
22, 15
22, 17
25, 20
